Cosignee,Origin,Destination
 Otk Kart Usa Corp. ," Genoa, Italy"," Miami, Florida"
 Otk Kart Usa Corp ," Genoa, Italy"," Port Everglades, Florida"
 J3 Competition ," Genoa, Italy"," New York/Newark Area, Newark, New Jersey"
 Laszarts Sa De Cv ," Genoa, Italy"," Port Everglades, Florida"
 Otk Kart Usa. Corp ," Genoa, Italy"," Miami, Florida"
 European Furniture Imports Inc ," Kingston, Jamaica"," Tampa, Florida"
 Ifi Gourmet- a Sweet Company ," Rotterdam, Netherlands"," Norfolk, Virginia"
 Formosa Logistics Corp. ," Kajang, Malaysia"," Oakland, California"
 Intl Foods & Ingredients ," Rotterdam, Netherlands"," New York/Newark Area, Newark, New Jersey"
 Comercializadora 1888 S.a. De C.V. ," La Spezia, Italy"," Houston, Texas"
 John Varvatos Enterprises Inc ," La Spezia, Italy"," New York/Newark Area, Newark, New Jersey"
 Thakoon ," Leghorn, Italy"," New York, New York"
 Global Fundas Mx Bodega ," Gioia Tauro, Italy"," Port Everglades, Florida"
 Burberry Us Hub ," Hamburg, Federal Republic of Germany"," New York, New York"
 Global Fundas Mexico ," All Other Malta Ports, Malta"," Miami, Florida"
 Benecci Corp. ," La Spezia, Italy"," Los Angeles, California"
" Diesel Usa Inc.,New York "," Leghorn, Italy"," New York, New York"
" Ombra Blue, C.a. "," Genoa, Italy"," New York/Newark Area, Newark, New Jersey"
 Worldwindows Llc ," Algeciras, Spain"," New York/Newark Area, Newark, New Jersey"
 Sxs Group Llc ," Hamburg, Federal Republic of Germany"," New York, New York"
 John Varvatos Enterprises ," La Spezia, Italy"," New York, New York"
 Foxs ," Genoa, Italy"," New York, New York"
 Sofaplast ," Le Havre, France"," New York, New York"
 Vascor De Mexico Sa De Cv ," Genoa, Italy"," Port Everglades, Florida"
 Rare Drive Inc ," Antwerp, Belgium"," New York, New York"
