Cosignee,Origin,Destination
" Bmw Manufacturing Co.,Llc Lc1 Wareh "," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 Bmw of North America Llc ," Hamble, United Kingdom"," Brunswick, Georgia"
 Bmw North America ," Hamble, United Kingdom"," New York/Newark Area, Newark, New Jersey"
" Bmw of North America, Llc "," Hamburg, Federal Republic of Germany"," Oakland, California"
 Richmond Pdc ," Cartagena, Colombia"," Los Angeles, California"
 Gkn Driveline Newton ," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 Zf Lemforder Corporation ," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 Performance Autos S a ," Bremerhaven, Federal Republic of Germany"," Baltimore, Maryland"
 Bermuda Motors Ltd ," Hamburg, Federal Republic of Germany"," New York/Newark Area, Newark, New Jersey"
" Bmw De Mexico, S.a. De C.V. "," Hamble, United Kingdom"," Jacksonville, Florida"
 Bmw of North America ," Bremerhaven, Federal Republic of Germany"," New York, New York"
 Bmw Manufacturing Corp ," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
" T & Wa of South Carolina, Llc "," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 Benteler Automotive Corporation ," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
" Bmw North America,Llc "," Hamburg, Federal Republic of Germany"," New York/Newark Area, Newark, New Jersey"
" Bmw of North America, Llc Rdc Redla "," Bremerhaven, Federal Republic of Germany"," Savannah, Georgia"
" Bmw Manufacturing Co,Llc B83.0 "," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
" Bmw Manufacturing Co.,Llc Lc5 Wareh "," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
" Bmw Manufacturing Co.,Llc Lc-2 Over "," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 Cfx Overseas Glass Greer ," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
" Bmw Manufacturing Co.,Llc "," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 Slw Automotive Inc ," Hamble, United Kingdom"," Houston, Texas"
" Huf Mexico, S De Rl De Cv "," Antwerp, Belgium"," Charleston, South Carolina"
" Zf Chassis Components, Llc "," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 Harout'S Auto ," Bremerhaven, Federal Republic of Germany"," Los Angeles, California"
 Bmw Ag ," Gooch Island, BC, Canada"," Portland, Oregon"
 Bmw Do Brasil Ltda ," Veracruz, Mexico"," Houston, Texas"
" Bmw Manufacturing Co.,Llc, "," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
" Bmwof North America, Llc "," Durban, South Africa"," Port Hueneme, California"
" Bmw Manufacturing Co,Llc "," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 Marques Constellation Quebec Inc ," Buenos Aires, Argentina"," Norfolk, Virginia"
 Logwin Solutions Deutschland Gmbh ," Yokohama, Japan"," Tacoma, Washington"
 Family Delight Food Inc ," Callao, Peru"," Port Everglades, Florida"
 Family Delight Food Inc. ," Buenos Aires, Argentina"," Houston, Texas"
 Family Delight Food Inc. C/O ," Buenos Aires, Argentina"," New York/Newark Area, Newark, New Jersey"
 Newark Refrigerated ," Buenos Aires, Argentina"," New York/Newark Area, Newark, New Jersey"
" Zf North American, Inc. "," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
" Zf Chassis System Duncun, Llc "," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
" Autoliv Asp, Inc. "," Bremerhaven, Federal Republic of Germany"," New York, New York"
 Family Delight Food Inc C/O Export ," Buenos Aires, Argentina"," Jacksonville, Florida"
" T & Wa of South Carolina, Llc, "," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 Fmc Technologies Inc ," Hamble, United Kingdom"," Houston, Texas"
 Chellingworth Motors ," Hamble, United Kingdom"," Baltimore, Maryland"
 Lance Dixon Bentley ," Hamble, United Kingdom"," Baltimore, Maryland"
 Bentley Sydney ," Hamble, United Kingdom"," Baltimore, Maryland"
 Bentley Auckland ," Hamble, United Kingdom"," Baltimore, Maryland"
 Barbizon P L ," Hamble, United Kingdom"," Baltimore, Maryland"
 Bentley Motors Inc. ," Emden, Federal Republic of Germany"," Houston, Texas"
 Volkswagen De Mexico S.a. De C.V. ," Emden, Federal Republic of Germany"," Houston, Texas"
 Bentley Motors Cars Inc ," Liverpool, United Kingdom"," Wilmington, North Carolina"
 Giltrap Prestige Porsche Center ," Hamble, United Kingdom"," Baltimore, Maryland"
 Kathleen Carter ," Saint John, NB, Canada"," West Palm Beach, Florida"
" Bmw Manufacturing Co.,Llc Reiter Ov "," Bremerhaven, Federal Republic of Germany"," Charleston, South Carolina"
 Zip Logistics ," Port of Spain, Trinidad"," Port Everglades, Florida"
 Park Fragrance ," Le Havre, France"," New York/Newark Area, Newark, New Jersey"
 Bentley Motors Inc ," Hamble, United Kingdom"," Houston, Texas"
" Cumbernack Friffith, Eloise "," Saint John, NB, Canada"," West Palm Beach, Florida"
" Bentley Instruments, Inc. "," Antwerp, Belgium"," New York, New York"
 Symbolic Motor Car Company ," Hamble, United Kingdom"," Los Angeles, California"
 Volkswagen Arizona Proving Ground ," Hamble, United Kingdom"," Los Angeles, California"
 Bentley David ," Thamesport, United Kingdom"," Houston, Texas"
